filename,length,loudness
../LibriSpeech/test-clean/1089/134686/1089-134686-0000.flac,10.435,-23.108496915406405
../LibriSpeech/test-clean/1089/134686/1089-134686-0001.flac,3.275,-27.779876430558268
../LibriSpeech/test-clean/1089/134686/1089-134686-0002.flac,6.625,-24.606858107858116
../LibriSpeech/test-clean/1089/134686/1089-134686-0003.flac,2.68,-20.323507061350007
../LibriSpeech/test-clean/1089/134686/1089-134686-0004.flac,5.215,-21.282482529403964
../LibriSpeech/test-clean/1089/134686/1089-134686-0005.flac,9.635,-25.012642239003625
../LibriSpeech/test-clean/1089/134686/1089-134686-0006.flac,10.555,-22.076604579929754
../LibriSpeech/test-clean/1089/134686/1089-134686-0007.flac,4.275,-26.649299359122725
../LibriSpeech/test-clean/1089/134686/1089-134686-0008.flac,6.73,-24.023225480244403
../LibriSpeech/test-clean/1089/134686/1089-134686-0009.flac,10.575,-22.147592981450646
../LibriSpeech/test-clean/1089/134686/1089-134686-0010.flac,4.405,-21.59848166922126
../LibriSpeech/test-clean/1089/134686/1089-134686-0011.flac,12.445,-24.23643917151656
../LibriSpeech/test-clean/1089/134686/1089-134686-0012.flac,11.64,-24.544014187754634
../LibriSpeech/test-clean/1089/134686/1089-134686-0013.flac,7.915,-25.059976904585763
../LibriSpeech/test-clean/1089/134686/1089-134686-0014.flac,20.025,-23.440826823117206
../LibriSpeech/test-clean/1089/134686/1089-134686-0015.flac,5.815,-26.53605277920001
../LibriSpeech/test-clean/1089/134686/1089-134686-0016.flac,3.54,-27.689464867082016
../LibriSpeech/test-clean/1089/134686/1089-134686-0017.flac,8.87,-24.41526621360549
../LibriSpeech/test-clean/1089/134686/1089-134686-0018.flac,15.72,-25.251938079596492
../LibriSpeech/test-clean/1089/134686/1089-134686-0019.flac,13.895,-23.881173132960573
../LibriSpeech/test-clean/1089/134686/1089-134686-0020.flac,16.79,-24.490507511539267
../LibriSpeech/test-clean/1089/134686/1089-134686-0021.flac,6.55,-23.444766895599404
../LibriSpeech/test-clean/1089/134686/1089-134686-0022.flac,11.175,-22.984276224828495
../LibriSpeech/test-clean/1089/134686/1089-134686-0023.flac,13.275,-24.548487991427102
../LibriSpeech/test-clean/1089/134686/1089-134686-0024.flac,11.655,-24.27537971332283
../LibriSpeech/test-clean/1089/134686/1089-134686-0025.flac,6.61,-24.876812671617717
../LibriSpeech/test-clean/1089/134686/1089-134686-0026.flac,4.01,-25.623716211618568
../LibriSpeech/test-clean/1089/134686/1089-134686-0027.flac,2.71,-24.688331354239807
../LibriSpeech/test-clean/1089/134686/1089-134686-0028.flac,7.83,-21.853919873167392
../LibriSpeech/test-clean/1089/134686/1089-134686-0029.flac,4.67,-20.214145973760598
../LibriSpeech/test-clean/1089/134686/1089-134686-0030.flac,2.715,-19.039376991306145
../LibriSpeech/test-clean/1089/134686/1089-134686-0031.flac,6.615,-24.779762615729474
../LibriSpeech/test-clean/1089/134686/1089-134686-0032.flac,4.09,-23.010478023394842
../LibriSpeech/test-clean/1089/134686/1089-134686-0033.flac,3.33,-24.97966079038953
../LibriSpeech/test-clean/1089/134686/1089-134686-0034.flac,5.81,-27.74747844582005
../LibriSpeech/test-clean/1089/134686/1089-134686-0035.flac,3.445,-21.10909357824653
../LibriSpeech/test-clean/1089/134686/1089-134686-0036.flac,3.25,-24.323212017440756
../LibriSpeech/test-clean/1089/134686/1089-134686-0037.flac,5.21,-25.943541627765406
../LibriSpeech/test-clean/1089/134691/1089-134691-0000.flac,18.765,-21.28862965608521
../LibriSpeech/test-clean/1089/134691/1089-134691-0001.flac,5.415,-25.305479737515853
../LibriSpeech/test-clean/1089/134691/1089-134691-0002.flac,11.6,-21.681723416014613
../LibriSpeech/test-clean/1089/134691/1089-134691-0003.flac,19.575,-24.18049814818061
../LibriSpeech/test-clean/1089/134691/1089-134691-0004.flac,5.175,-22.448029370858794
../LibriSpeech/test-clean/1089/134691/1089-134691-0005.flac,5.36,-24.965564131134084
../LibriSpeech/test-clean/1089/134691/1089-134691-0006.flac,5.895,-22.98801450318965
../LibriSpeech/test-clean/1089/134691/1089-134691-0007.flac,3.44,-23.269209590481715
../LibriSpeech/test-clean/1089/134691/1089-134691-0008.flac,14.985,-21.465676983499954
../LibriSpeech/test-clean/1089/134691/1089-134691-0009.flac,20.055,-23.607868310412528
../LibriSpeech/test-clean/1089/134691/1089-134691-0010.flac,3.195,-23.83158656838418
../LibriSpeech/test-clean/1089/134691/1089-134691-0011.flac,20.01,-22.777459558064116
../LibriSpeech/test-clean/1089/134691/1089-134691-0012.flac,15.03,-21.942972872799448
../LibriSpeech/test-clean/1089/134691/1089-134691-0013.flac,16.33,-22.178195090515253
../LibriSpeech/test-clean/1089/134691/1089-134691-0014.flac,4.755,-24.18478853583913
../LibriSpeech/test-clean/1089/134691/1089-134691-0015.flac,3.395,-26.683563268005127
../LibriSpeech/test-clean/1089/134691/1089-134691-0016.flac,9.06,-21.390690420171886
../LibriSpeech/test-clean/1089/134691/1089-134691-0017.flac,11.695,-20.141098036533297
../LibriSpeech/test-clean/1089/134691/1089-134691-0018.flac,3.09,-24.078159531170456
../LibriSpeech/test-clean/1089/134691/1089-134691-0019.flac,3.155,-23.304038332511098
../LibriSpeech/test-clean/1089/134691/1089-134691-0020.flac,3.99,-15.905812631075218
../LibriSpeech/test-clean/1089/134691/1089-134691-0021.flac,13.37,-22.07323860831698
../LibriSpeech/test-clean/1089/134691/1089-134691-0022.flac,5.635,-20.962757439583317
../LibriSpeech/test-clean/1089/134691/1089-134691-0023.flac,7.735,-23.62796989225652
../LibriSpeech/test-clean/1089/134691/1089-134691-0024.flac,19.935,-16.909651301024276
../LibriSpeech/test-clean/1089/134691/1089-134691-0025.flac,8.005,-24.06968549182703
../LibriSpeech/test-clean/1188/133604/1188-133604-0000.flac,10.725,-27.87780181544434
../LibriSpeech/test-clean/1188/133604/1188-133604-0001.flac,9.04,-26.374424246728623
../LibriSpeech/test-clean/1188/133604/1188-133604-0002.flac,17.96,-23.35459435851359
../LibriSpeech/test-clean/1188/133604/1188-133604-0003.flac,12.61,-26.0121217382404
../LibriSpeech/test-clean/1188/133604/1188-133604-0004.flac,10.65,-25.87028670263425
../LibriSpeech/test-clean/1188/133604/1188-133604-0005.flac,8.56,-26.281056212785327
../LibriSpeech/test-clean/1188/133604/1188-133604-0006.flac,2.4,-30.205388449118754
../LibriSpeech/test-clean/1188/133604/1188-133604-0007.flac,14.24,-26.598155602106853
../LibriSpeech/test-clean/1188/133604/1188-133604-0008.flac,20.755,-25.136253044712827
../LibriSpeech/test-clean/1188/133604/1188-133604-0009.flac,23.06,-23.173189492160038
../LibriSpeech/test-clean/1188/133604/1188-133604-0010.flac,6.095,-26.183277810945707
../LibriSpeech/test-clean/1188/133604/1188-133604-0011.flac,15.19,-21.739823228882752
../LibriSpeech/test-clean/1188/133604/1188-133604-0012.flac,14.65,-23.87703008988748
../LibriSpeech/test-clean/1188/133604/1188-133604-0013.flac,3.02,-25.344627475392866
../LibriSpeech/test-clean/1188/133604/1188-133604-0014.flac,4.39,-24.521679668793723
../LibriSpeech/test-clean/1188/133604/1188-133604-0015.flac,16.085,-21.853919873167392
../LibriSpeech/test-clean/1188/133604/1188-133604-0016.flac,16.595,-24.262380125506372
../LibriSpeech/test-clean/1188/133604/1188-133604-0017.flac,4.615,-21.130201461387834
../LibriSpeech/test-clean/1188/133604/1188-133604-0018.flac,11.55,-19.928197926227465
../LibriSpeech/test-clean/1188/133604/1188-133604-0019.flac,13.93,-20.13301939111626
../LibriSpeech/test-clean/1188/133604/1188-133604-0020.flac,10.26,-21.06103874121523
../LibriSpeech/test-clean/1188/133604/1188-133604-0021.flac,14.02,-21.337963915162796
../LibriSpeech/test-clean/1188/133604/1188-133604-0022.flac,9.63,-24.371309188423417
../LibriSpeech/test-clean/1188/133604/1188-133604-0023.flac,23.67,-21.49396468961065
../LibriSpeech/test-clean/1188/133604/1188-133604-0024.flac,15.24,-21.387579985174256
../LibriSpeech/test-clean/1188/133604/1188-133604-0025.flac,7.45,-20.58889497194951
../LibriSpeech/test-clean/1188/133604/1188-133604-0026.flac,20.125,-22.928394263011292
../LibriSpeech/test-clean/1188/133604/1188-133604-0027.flac,11.245,-22.817697484739053
../LibriSpeech/test-clean/1188/133604/1188-133604-0028.flac,19.005,-22.325912020030025
../LibriSpeech/test-clean/1188/133604/1188-133604-0029.flac,3.705,-26.764041974081888
../LibriSpeech/test-clean/1188/133604/1188-133604-0030.flac,15.32,-24.201971310261882
../LibriSpeech/test-clean/1188/133604/1188-133604-0031.flac,4.25,-24.830463097183845
../LibriSpeech/test-clean/1188/133604/1188-133604-0032.flac,10.985,-24.93276062439875
